YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,12,1,2,AA,1230,N3KSAA,SEA,DFW,5,9.0,4.0,10.0,19.0,230.0,209.0,194.0,1660,533.0,5.0,555,538.0,-17.0,0,0,,,,,,
2015,12,1,2,DL,1426,N820DN,SFO,MSP,5,4.0,-1.0,14.0,18.0,215.0,212.0,196.0,1589,534.0,2.0,540,536.0,-4.0,0,0,,,,,,
2015,12,1,2,AA,2406,N850AA,LAX,DFW,10,7.0,-3.0,17.0,24.0,171.0,166.0,141.0,1235,445.0,8.0,501,453.0,-8.0,0,0,,,,,,
2015,12,1,2,UA,680,N38473,SFO,ORD,14,10.0,-4.0,11.0,21.0,258.0,232.0,216.0,1846,557.0,5.0,632,602.0,-30.0,0,0,,,,,,
2015,12,1,2,AA,883,N199UW,SFO,CLT,15,13.0,-2.0,15.0,28.0,290.0,297.0,264.0,2296,752.0,18.0,805,810.0,5.0,0,0,,,,,,
2015,12,1,2,AA,2020,N977UY,PHX,CLT,15,11.0,-4.0,10.0,21.0,226.0,198.0,182.0,1773,523.0,6.0,601,529.0,-32.0,0,0,,,,,,
2015,12,1,2,F9,1456,N227FR,LAS,ATL,20,19.0,-1.0,14.0,33.0,225.0,198.0,174.0,1747,627.0,10.0,705,637.0,-28.0,0,0,,,,,,
2015,12,1,2,NK,298,N625NK,LAS,IAH,25,19.0,-6.0,16.0,35.0,160.0,159.0,135.0,1222,450.0,8.0,505,458.0,-7.0,0,0,,,,,,
2015,12,1,2,AA,448,N556UW,SLC,CLT,25,31.0,6.0,13.0,44.0,223.0,205.0,188.0,1727,552.0,4.0,608,556.0,-12.0,0,0,,,,,,
2015,12,1,2,DL,1969,N556NW,PHX,ATL,25,26.0,1.0,11.0,37.0,207.0,174.0,155.0,1587,512.0,8.0,552,520.0,-32.0,0,0,,,,,,
2015,12,1,2,UA,1730,N27421,HNL,SFO,29,32.0,3.0,18.0,50.0,325.0,301.0,276.0,2398,726.0,7.0,754,733.0,-21.0,0,0,,,,,,
2015,12,1,2,AA,260,N3FDAA,LAX,MIA,30,28.0,-2.0,18.0,46.0,293.0,269.0,246.0,2342,752.0,5.0,823,757.0,-26.0,0,0,,,,,,
2015,12,1,2,AA,1645,N3CCAA,SFO,MIA,30,40.0,10.0,16.0,56.0,320.0,301.0,274.0,2585,830.0,11.0,850,841.0,-9.0,0,0,,,,,,
2015,12,1,2,UA,910,N17245,LAX,ORD,31,25.0,-6.0,14.0,39.0,248.0,232.0,204.0,1744,603.0,14.0,639,617.0,-22.0,0,0,,,,,,
2015,12,1,2,AA,401,N585UW,PHX,TPA,34,31.0,-3.0,13.0,44.0,221.0,207.0,189.0,1788,553.0,5.0,615,558.0,-17.0,0,0,,,,,,
2015,12,1,2,AA,1779,N153UW,PHX,BWI,35,39.0,4.0,11.0,50.0,245.0,238.0,220.0,1999,630.0,7.0,640,637.0,-3.0,0,0,,,,,,
